Batch Size,L1 Nodes,L1 Regularization,L1 Dropout,L2 Nodes,L2 Regularization,L2 Dropout,Learning Rate,Accuracy
3.0,53.0,0.09,0.21,228.0,0.07,0.39,0.04,0.408730149269104
40.0,170.0,0.009000000000000001,0.46,94.0,0.05,0.31,0.07,0.4126984179019928
2.0,280.0,0.006999999999999999,0.72,51.0,0.04,0.29,1e-06,0.5079365372657776
200.0,184.0,0.5,0.77,293.0,0.00030000000000000003,0.69,0.08,0.4126984179019928
300.0,44.0,0.004,0.76,25.0,0.02,0.58,0.7000000000000001,0.41507935523986816
30.0,227.0,0.00030000000000000003,0.69,139.0,0.009000000000000001,0.17,0.0007,0.44603174924850464
60.0,113.0,0.0,0.0,84.0,0.7000000000000001,0.73,0.0006000000000000001,0.5015873312950134
300.0,76.0,0.08,0.45,169.0,0.0004,0.02,4e-05,0.5023809671401978
1.0,103.0,0.06,0.27,108.0,0.00030000000000000003,0.51,0.02,0.4198412597179413
200.0,50.0,0.1,0.32,129.0,0.04,0.6,0.06,0.4126984179019928
800.0,95.0,1e-05,0.11,59.0,0.0005,0.71,0.06,0.4730158746242523
400.0,103.0,0.1,0.51,37.0,0.04,0.12,6e-06,0.37142857909202576
200.0,215.0,0.30000000000000004,0.79,174.0,0.0004,0.71,0.09,0.4126984179019928
3.0,181.0,0.0002,0.42,64.0,0.2,0.24,9e-05,0.5111111402511597
400.0,171.0,0.004,0.42,233.0,0.01,0.49,0.06,0.5079365372657776
300.0,79.0,0.0008,0.31,143.0,0.008,0.8,4e-06,0.3619047701358795
600.0,194.0,0.5,0.26,78.0,0.006999999999999999,0.53,0.1,0.4126984179019928
5.0,218.0,0.002,0.67,225.0,0.0006000000000000001,0.58,0.006999999999999999,0.4317460358142853
60.0,179.0,5e-05,0.34,138.0,0.006,0.53,0.006,0.43492063879966736
9.0,281.0,0.07,0.76,225.0,0.30000000000000004,0.25,8e-05,0.4166666567325592
100.0,285.0,0.0,0.57,292.0,0.006,0.32,0.2,0.4126984179019928
80.0,265.0,1e-05,0.51,211.0,0.9,0.26,0.04,0.4166666567325592
7.0,210.0,0.0,0.08,248.0,0.0,0.0,0.00030000000000000003,0.4158730208873749
70.0,172.0,0.0,0.32,85.0,0.1,0.15,0.0008,0.4761904776096344
60.0,252.0,0.004,0.05,169.0,4e-05,0.57,6e-06,0.4952380955219269
600.0,226.0,0.04,0.67,218.0,9e-05,0.48,5e-06,0.4055555462837219
10.0,134.0,0.06,0.32,153.0,0.5,0.66,0.003,0.4134920537471771
700.0,107.0,0.001,0.55,230.0,0.005,0.48,0.9,0.4126984179019928
700.0,133.0,0.006999999999999999,0.47,218.0,0.02,0.33,0.003,0.5142857432365417
100.0,40.0,6.000000000000002e-05,0.52,292.0,0.002,0.57,0.003,0.4507936537265778
50.0,53.0,0.0,0.06,236.0,0.09,0.35,0.30000000000000004,0.4126984179019928
60.0,288.0,0.5,0.23,145.0,0.002,0.58,9e-05,0.5015873312950134
30.0,57.0,0.7000000000000001,0.22,72.0,0.4,0.44,6e-06,0.42619046568870544
40.0,294.0,0.002,0.03,37.0,0.001,0.78,0.0001,0.4833333194255829
20.0,154.0,0.002,0.19,84.0,0.0006000000000000001,0.57,0.004,0.4095238149166107
400.0,269.0,5e-05,0.68,282.0,0.04,0.42,2e-05,0.5206349492073059
200.0,47.0,3.000000000000001e-05,0.24,172.0,0.07,0.64,0.001,0.5015873312950134
9.0,114.0,0.0,0.19,196.0,0.0,0.14,0.003,0.4158730208873749
900.0,242.0,0.002,0.53,250.0,0.7000000000000001,0.56,1e-05,0.4634920656681061
90.0,135.0,0.03,0.26,85.0,7.000000000000001e-05,0.75,0.006999999999999999,0.4476190507411957
1.0,104.0,0.05,0.19,191.0,0.09,0.77,0.002,0.4126984179019928
1.0,261.0,0.001,0.74,177.0,0.05,0.59,0.006999999999999999,0.4126984179019928
50.0,182.0,0.01,0.65,131.0,0.0,0.05,4e-05,0.49841269850730896
80.0,219.0,0.0002,0.26,87.0,0.0007,0.05,3.000000000000001e-05,0.4571428596973419
